StatsCode,Geoname,Quality,Altitude,rate,year_range,gender,age_range,condition
14870,Lithgow (C),Good,1098.0,29.21559325196404,2017-18,males , 2-17,overweight or obese
14900,Liverpool (C),Good,15.0,25.111374447111633,2017-18,males , 2-17,overweight or obese
14920,Liverpool Plains (A),Good,329.0,28.122457604716757,2017-18,males , 2-17,overweight or obese
14950,Lockhart (A),Poor,214.0,36.289313917451295,2017-18,males , 2-17,overweight or obese
15050,Maitland (C),Good,4.0,25.990403749663248,2017-18,males , 2-17,overweight or obese
15270,Mid-Western Regional (A),Good,520.0,28.884708956767874,2017-18,males , 2-17,overweight or obese
15300,Moree Plains (A),Good,186.0,27.933126333797116,2017-18,males , 2-17,overweight or obese
15350,Mosman (A),Good,31.0,20.92339759992529,2017-18,males , 2-17,overweight or obese
15560,Murrumbidgee (A),Poor,114.0,26.098809926373207,2017-18,males , 2-17,overweight or obese
15650,Muswellbrook (A),Good,307.0,29.037233320383912,2017-18,males , 2-17,overweight or obese
15700,Nambucca (A),Good,389.0,25.79097055671498,2017-18,males , 2-17,overweight or obese
15750,Narrabri (A),Good,222.0,29.637623986468135,2017-18,males , 2-17,overweight or obese
15800,Narrandera (A),Good,154.0,28.784413089316796,2017-18,males , 2-17,overweight or obese
15850,Narromine (A),Good,225.0,25.638761702109928,2017-18,males , 2-17,overweight or obese
15900,Newcastle (C),Good,16.0,26.023877763845213,2017-18,males , 2-17,overweight or obese
15950,North Sydney (A),Good,84.0,21.17150462562371,2017-18,males , 2-17,overweight or obese
16100,Oberon (A),Acceptable,1162.0,28.288004394489302,2017-18,males , 2-17,overweight or obese
16150,Orange (C),Good,926.0,28.079970628938522,2017-18,males , 2-17,overweight or obese
16200,Parkes (A),Good,265.0,28.531319293517747,2017-18,males , 2-17,overweight or obese
16260,Parramatta (C),Good,17.0,22.99818873104717,2017-18,males , 2-17,overweight or obese
16350,Penrith (C),Good,31.0,25.056491284387377,2017-18,males , 2-17,overweight or obese
16380,Port Macquarie-Hastings (A),Good,365.0,27.90672641162033,2017-18,males , 2-17,overweight or obese
16550,Randwick (C),Good,27.0,24.382983804914787,2017-18,males , 2-17,overweight or obese
16610,Richmond Valley (A),Good,58.0,28.45245574622852,2017-18,males , 2-17,overweight or obese
16650,Rockdale (C),Good,4.0,21.058320824874666,2017-18,males , 2-17,overweight or obese
16700,Ryde (C),Good,84.0,23.371062852994378,2017-18,males , 2-17,overweight or obese
16900,Shellharbour (C),Good,125.0,26.220795512610344,2017-18,males , 2-17,overweight or obese
16950,Shoalhaven (C),Good,186.0,27.44684101839129,2017-18,males , 2-17,overweight or obese
17000,Singleton (A),Good,480.0,28.131470319428388,2017-18,males , 2-17,overweight or obese
17100,Strathfield (A),Acceptable,35.0,22.215104287693407,2017-18,males , 2-17,overweight or obese
17150,Sutherland Shire (A),Good,61.0,23.304006052687924,2017-18,males , 2-17,overweight or obese
17200,Sydney (C),Good,69.0,22.171675718911057,2017-18,males , 2-17,overweight or obese
17310,Tamworth Regional (A),Good,369.0,28.118399752305343,2017-18,males , 2-17,overweight or obese
17350,Temora (A),Good,277.0,29.73578072923832,2017-18,males , 2-17,overweight or obese
17400,Tenterfield (A),Good,930.0,28.553318934122842,2017-18,males , 2-17,overweight or obese
17420,The Hills Shire (A),Good,116.0,23.473985717595447,2017-18,males , 2-17,overweight or obese
17550,Tweed (A),Good,11.0,25.77245290909999,2017-18,males , 2-17,overweight or obese
17620,Upper Hunter Shire (A),Good,602.0,29.007757709884668,2017-18,males , 2-17,overweight or obese
17640,Upper Lachlan Shire (A),Poor,908.0,31.900986790230633,2017-18,males , 2-17,overweight or obese
17650,Uralla (A),Acceptable,759.0,27.92715123886849,2017-18,males , 2-17,overweight or obese
17750,Wagga Wagga (C),Good,220.0,31.21904289088428,2017-18,males , 2-17,overweight or obese
17850,Walcha (A),Good,1065.0,30.053716321857028,2017-18,males , 2-17,overweight or obese
17950,Warren (A),Poor,171.0,27.90608219014687,2017-18,males , 2-17,overweight or obese
18020,Warrumbungle Shire (A),Acceptable,568.0,30.711938526973427,2017-18,males , 2-17,overweight or obese
18050,Waverley (A),Good,93.0,21.41150944858148,2017-18,males , 2-17,overweight or obese
18100,Weddin (A),Good,345.0,32.06853979549366,2017-18,males , 2-17,overweight or obese
18200,Wentworth (A),Good,49.0,30.74817622199196,2017-18,males , 2-17,overweight or obese
18250,Willoughby (C),Good,108.0,21.095348565138814,2017-18,males , 2-17,overweight or obese
18350,Wingecarribee (A),Good,704.0,27.917919387536806,2017-18,males , 2-17,overweight or obese
18400,Wollondilly (A),Good,435.0,25.310769653966467,2017-18,males , 2-17,overweight or obese
18450,Wollongong (C),Good,367.0,25.460195904435956,2017-18,males , 2-17,overweight or obese
18500,Woollahra (A),Good,13.0,20.75007516247984,2017-18,males , 2-17,overweight or obese
20110,Alpine (S),Good,520.0,26.536243819808966,2017-18,males , 2-17,overweight or obese
20260,Ararat (RC),Good,238.0,29.23025685963564,2017-18,males , 2-17,overweight or obese
20660,Banyule (C),Good,74.0,23.17989886951323,2017-18,males , 2-17,overweight or obese
20740,Bass Coast (S),Good,8.0,26.76080464892959,2017-18,males , 2-17,overweight or obese
20830,Baw Baw (S),Good,306.0,26.852171193653895,2017-18,males , 2-17,overweight or obese
20910,Bayside (C),Good,28.0,20.967731667373098,2017-18,males , 2-17,overweight or obese
21010,Benalla (RC),Good,177.0,27.86213508669543,2017-18,males , 2-17,overweight or obese
21110,Boroondara (C),Good,52.0,20.338042261320055,2017-18,males , 2-17,overweight or obese
21180,Brimbank (C),Good,64.0,25.0480437931192,2017-18,males , 2-17,overweight or obese
21270,Buloke (S),Good,92.0,26.8486438783987,2017-18,males , 2-17,overweight or obese
21370,Campaspe (S),Good,120.0,29.02229291088697,2017-18,males , 2-17,overweight or obese
21450,Cardinia (S),Good,27.0,25.335252228420924,2017-18,males , 2-17,overweight or obese
21610,Casey (C),Good,36.0,24.77002577712967,2017-18,males , 2-17,overweight or obese
21670,Central Goldfields (S),Good,211.0,29.165115198698995,2017-18,males , 2-17,overweight or obese
21750,Colac-Otway (S),Good,236.0,28.60298110691649,2017-18,males , 2-17,overweight or obese
21830,Corangamite (S),Good,148.0,26.3011230266152,2017-18,males , 2-17,overweight or obese
21890,Darebin (C),Good,59.0,23.14960271079241,2017-18,males , 2-17,overweight or obese
22110,East Gippsland (S),Good,583.0,27.794842283018173,2017-18,males , 2-17,overweight or obese
22170,Frankston (C),Good,57.0,25.18368204432968,2017-18,males , 2-17,overweight or obese
22250,Gannawarra (S),Good,78.0,27.62684557217518,2017-18,males , 2-17,overweight or obese
22310,Glen Eira (C),Good,42.0,22.71573457091928,2017-18,males , 2-17,overweight or obese
22410,Glenelg (S),Good,143.0,27.998276838297976,2017-18,males , 2-17,overweight or obese
22490,Golden Plains (S),Good,296.0,26.947140267808606,2017-18,males , 2-17,overweight or obese
22620,Greater Bendigo (C),Good,215.0,27.89659057496287,2017-18,males , 2-17,overweight or obese
22670,Greater Dandenong (C),Good,20.0,24.727351177139695,2017-18,males , 2-17,overweight or obese
22750,Greater Geelong (C),Good,10.0,26.96746094002575,2017-18,males , 2-17,overweight or obese
22830,Greater Shepparton (C),Good,114.0,30.661247513795182,2017-18,males , 2-17,overweight or obese
22980,Hindmarsh (S),Acceptable,92.0,28.456385167638327,2017-18,males , 2-17,overweight or obese
23110,Hobsons Bay (C),Good,1.0,23.665921560540248,2017-18,males , 2-17,overweight or obese
23190,Horsham (RC),Good,150.0,28.25374371609813,2017-18,males , 2-17,overweight or obese
23270,Hume (C),Good,159.0,25.02213356905504,2017-18,males , 2-17,overweight or obese
23350,Indigo (S),Good,308.0,27.300882364600394,2017-18,males , 2-17,overweight or obese
23430,Kingston (C) (Vic.),Good,7.0,22.614937677587747,2017-18,males , 2-17,overweight or obese
23670,Knox (C),Good,76.0,23.560168335849095,2017-18,males , 2-17,overweight or obese
23810,Latrobe (C) (Vic.),Good,94.0,27.322470786842725,2017-18,males , 2-17,overweight or obese
23940,Loddon (S),Good,122.0,29.34104005929195,2017-18,males , 2-17,overweight or obese
24130,Macedon Ranges (S),Good,633.0,27.944734917915902,2017-18,males , 2-17,overweight or obese
24210,Manningham (C),Good,49.0,21.625148197094017,2017-18,males , 2-17,overweight or obese
24250,Mansfield (S),Good,475.0,26.61330884680226,2017-18,males , 2-17,overweight or obese
24330,Maribyrnong (C),Good,39.0,23.485019490916237,2017-18,males , 2-17,overweight or obese
24410,Maroondah (C),Good,163.0,23.699749995644563,2017-18,males , 2-17,overweight or obese
24600,Melbourne (C),Good,4.0,23.607488388281734,2017-18,males , 2-17,overweight or obese
24600,Melbourne (C),Good,14.0,23.607488388281734,2017-18,males , 2-17,overweight or obese
24650,Melton (C),Good,144.0,25.269327457519545,2017-18,males , 2-17,overweight or obese
24780,Mildura (RC),Good,65.0,27.54389837440018,2017-18,males , 2-17,overweight or obese
24850,Mitchell (S),Good,256.0,26.190246646529015,2017-18,males , 2-17,overweight or obese
24900,Moira (S),Good,113.0,32.93757761534814,2017-18,males , 2-17,overweight or obese
24970,Monash (C),Good,111.0,20.604582046235187,2017-18,males , 2-17,overweight or obese
25060,Moonee Valley (C),Good,38.0,22.388370465589063,2017-18,males , 2-17,overweight or obese
25150,Moorabool (S),Good,505.0,26.596463879266558,2017-18,males , 2-17,overweight or obese
25250,Moreland (C),Good,72.0,23.79419098982675,2017-18,males , 2-17,overweight or obese
25340,Mornington Peninsula (S),Good,180.0,24.06393665027799,2017-18,males , 2-17,overweight or obese
25430,Mount Alexander (S),Good,301.0,27.862149901333524,2017-18,males , 2-17,overweight or obese
25490,Moyne (S),Good,80.0,28.13979386581592,2017-18,males , 2-17,overweight or obese
25620,Murrindindi (S),Good,231.0,29.966034754059695,2017-18,males , 2-17,overweight or obese
25710,Nillumbik (S),Good,116.0,21.900309732263395,2017-18,males , 2-17,overweight or obese
25810,Northern Grampians (S),Good,199.0,27.485439293576196,2017-18,males , 2-17,overweight or obese
25900,Port Phillip (C),Good,10.0,22.482222334937592,2017-18,males , 2-17,overweight or obese
25990,Pyrenees (S),Good,430.0,29.790692430843063,2017-18,males , 2-17,overweight or obese
26080,Queenscliffe (B),Poor,15.0,49.488346381668556,2017-18,males , 2-17,overweight or obese
26170,South Gippsland (S),Good,44.0,26.89150207837405,2017-18,males , 2-17,overweight or obese
26260,Southern Grampians (S),Good,200.0,28.072099826376718,2017-18,males , 2-17,overweight or obese
26350,Stonnington (C),Good,49.0,20.999329624258866,2017-18,males , 2-17,overweight or obese
26430,Strathbogie (S),Good,131.0,25.517237477627873,2017-18,males , 2-17,overweight or obese
26490,Surf Coast (S),Good,124.0,27.816673230094263,2017-18,males , 2-17,overweight or obese
26610,Swan Hill (RC),Good,58.0,27.460293230871674,2017-18,males , 2-17,overweight or obese
26670,Towong (S),Good,791.0,27.168978194494358,2017-18,males , 2-17,overweight or obese
26700,Wangaratta (RC),Good,220.0,27.641317358578046,2017-18,males , 2-17,overweight or obese
26730,Warrnambool (C),Good,34.0,28.21849539701324,2017-18,males , 2-17,overweight or obese
26810,Wellington (S),Good,20.0,26.62001372449841,2017-18,males , 2-17,overweight or obese
26890,West Wimmera (S),Poor,162.0,27.698617463643437,2017-18,males , 2-17,overweight or obese
26980,Whitehorse (C),Good,95.0,20.72360220982909,2017-18,males , 2-17,overweight or obese
27070,Whittlesea (C),Good,187.0,24.94611865790296,2017-18,males , 2-17,overweight or obese
27170,Wodonga (C),Good,226.0,26.728007313739806,2017-18,males , 2-17,overweight or obese
27260,Wyndham (C),Good,29.0,25.003838461483365,2017-18,males , 2-17,overweight or obese
27350,Yarra (C),Good,11.0,20.85013984843701,2017-18,males , 2-17,overweight or obese
30300,Balonne (S),Good,189.0,27.569291681207748,2017-18,males , 2-17,overweight or obese
30370,Banana (S),Good,137.0,28.813889921280655,2017-18,males , 2-17,overweight or obese
31820,Bundaberg (R),Good,79.0,29.43543649816238,2017-18,males , 2-17,overweight or obese
31900,Burdekin (S),Good,33.0,30.643841183371247,2017-18,males , 2-17,overweight or obese
32080,Cairns (R),Good,11.0,29.153888054626677,2017-18,males , 2-17,overweight or obese
32260,Cassowary Coast (R),Good,40.0,31.957694851212267,2017-18,males , 2-17,overweight or obese
32270,Central Highlands (R),Good,218.0,31.243851731669242,2017-18,males , 2-17,overweight or obese
32310,Charters Towers (R),Good,354.0,29.016072201369973,2017-18,males , 2-17,overweight or obese
33220,Fraser Coast (R),Good,41.0,28.572151129657147,2017-18,males , 2-17,overweight or obese
33360,Gladstone (R),Good,36.0,29.061839234447092,2017-18,males , 2-17,overweight or obese
33430,Gold Coast (C),Good,25.0,25.52458179856879,2017-18,males , 2-17,overweight or obese
33610,Goondiwindi (R),Good,216.0,27.67359672732614,2017-18,males , 2-17,overweight or obese
33620,Gympie (R),Good,71.0,27.528237539442692,2017-18,males , 2-17,overweight or obese
33800,Hinchinbrook (S),Good,18.0,38.12608567108914,2017-18,males , 2-17,overweight or obese
33960,Ipswich (C),Good,35.0,26.229323997924133,2017-18,males , 2-17,overweight or obese
33980,Isaac (R),Good,211.0,29.133778147709805,2017-18,males , 2-17,overweight or obese
34580,Lockyer Valley (R),Good,164.0,28.622701656853597,2017-18,males , 2-17,overweight or obese
34590,Logan (C),Good,29.0,26.153753737431032,2017-18,males , 2-17,overweight or obese
34770,Mackay (R),Good,45.0,28.142973639154572,2017-18,males , 2-17,overweight or obese
34860,Maranoa (R),Good,402.0,29.134741568863795,2017-18,males , 2-17,overweight or obese
35010,Moreton Bay (R),Good,20.0,26.333620442877738,2017-18,males , 2-17,overweight or obese
35300,Mount Isa (C),Good,311.0,29.502295690113115,2017-18,males , 2-17,overweight or obese
35760,North Burnett (R),Good,260.0,28.35420208309805,2017-18,males , 2-17,overweight or obese
36250,Redland (C),Good,37.0,26.312576810393136,2017-18,males , 2-17,overweight or obese
36370,Rockhampton (R),Good,38.0,28.15419237623414,2017-18,males , 2-17,overweight or obese
36510,Scenic Rim (R),Good,374.0,26.644475544500242,2017-18,males , 2-17,overweight or obese
36580,Somerset (R),Good,287.0,28.216714697518753,2017-18,males , 2-17,overweight or obese
36630,South Burnett (R),Good,439.0,29.615408866658612,2017-18,males , 2-17,overweight or obese
36660,Southern Downs (R),Good,917.0,28.68452236555459,2017-18,males , 2-17,overweight or obese
36820,Tablelands (R),Good,242.0,28.56036231532326,2017-18,males , 2-17,overweight or obese
36910,Toowoomba (R),Good,381.0,29.312838383452554,2017-18,males , 2-17,overweight or obese
37010,Townsville (C),Good,48.0,28.00958204592904,2017-18,males , 2-17,overweight or obese
37310,Western Downs (R),Good,312.0,27.91297654452272,2017-18,males , 2-17,overweight or obese
37340,Whitsunday (R),Good,429.0,28.74793079621435,2017-18,males , 2-17,overweight or obese
40070,Adelaide (C),Good,50.0,26.59398998426894,2017-18,males , 2-17,overweight or obese
40120,Adelaide Hills (DC),Good,472.0,26.09031139998678,2017-18,males , 2-17,overweight or obese
43920,Adelaide Plains (DC),Good,16.0,30.423600021560198,2017-18,males , 2-17,overweight or obese
40220,Alexandrina (DC),Good,79.0,31.49548030126774,2017-18,males , 2-17,overweight or obese
40310,Barossa (DC),Good,490.0,29.928085274071673,2017-18,males , 2-17,overweight or obese
40430,Barunga West (DC),Poor,83.0,34.044774598119034,2017-18,males , 2-17,overweight or obese
40520,Berri and Barmera (DC),Good,40.0,30.383179532400206,2017-18,males , 2-17,overweight or obese
40700,Burnside (C),Good,100.0,22.56561327629745,2017-18,males , 2-17,overweight or obese
40910,Campbelltown (C),Good,108.0,25.999256637692913,2017-18,males , 2-17,overweight or obese
41060,Charles Sturt (C),Good,12.0,26.598321501304643,2017-18,males , 2-17,overweight or obese
41140,Clare and Gilbert Valleys (DC),Good,370.0,27.2332638570024,2017-18,males , 2-17,overweight or obese
41190,Cleve (DC),Poor,144.0,30.029181035668383,2017-18,males , 2-17,overweight or obese
41560,Copper Coast (DC),Good,37.0,29.51955220583471,2017-18,males , 2-17,overweight or obese
41830,Flinders Ranges (DC),Poor,296.0,38.01988378926298,2017-18,males , 2-17,overweight or obese
41960,Franklin Harbour (DC),Poor,20.0,33.88504571189794,2017-18,males , 2-17,overweight or obese
42030,Gawler (T),Acceptable,53.0,27.76135731267623,2017-18,males , 2-17,overweight or obese
42110,Goyder (DC),Good,418.0,27.52863096671036,2017-18,males , 2-17,overweight or obese
42250,Grant (DC),Poor,30.0,29.63931442070471,2017-18,males , 2-17,overweight or obese
42600,Holdfast Bay (C),Good,15.0,26.24663739914298,2017-18,males , 2-17,overweight or obese
42750,Kangaroo Island (DC),Good,131.0,30.787205741452595,2017-18,males , 2-17,overweight or obese
43080,Karoonda East Murray (DC),Poor,73.0,27.24646234237942,2017-18,males , 2-17,overweight or obese
43220,Kimba (DC),Poor,281.0,30.3777258488694,2017-18,males , 2-17,overweight or obese
43360,Kingston (DC),Poor,20.0,30.762687428352745,2017-18,males , 2-17,overweight or obese
43650,Light (RegC),Acceptable,235.0,27.93299370652929,2017-18,males , 2-17,overweight or obese
43790,Loxton Waikerie (DC),Acceptable,65.0,29.478029847356638,2017-18,males , 2-17,overweight or obese
44060,Marion (C),Good,32.0,26.664748068598254,2017-18,males , 2-17,overweight or obese
44210,Mid Murray (DC),Acceptable,73.0,35.56156200382959,2017-18,males , 2-17,overweight or obese
44340,Mitcham (C),Good,273.0,24.215122501822997,2017-18,males , 2-17,overweight or obese
44550,Mount Barker (DC),Good,314.0,27.213144682016452,2017-18,males , 2-17,overweight or obese
44620,Mount Gambier (C),Good,42.0,29.38483059057841,2017-18,males , 2-17,overweight or obese
44830,Mount Remarkable (DC),Poor,310.0,30.377587670597958,2017-18,males , 2-17,overweight or obese
45090,Naracoorte and Lucindale (DC),Good,45.0,29.426993175942023,2017-18,males , 2-17,overweight or obese
45120,Northern Areas (DC),Good,402.0,32.3218742055029,2017-18,males , 2-17,overweight or obese
45290,Norwood Payneham St Peters (C),Good,61.0,25.86929482670522,2017-18,males , 2-17,overweight or obese
45340,Onkaparinga (C),Good,149.0,27.007227418914628,2017-18,males , 2-17,overweight or obese
45540,Peterborough (DC),Poor,545.0,34.79358602666301,2017-18,males , 2-17,overweight or obese
45680,Playford (C),Good,26.0,26.441892527149662,2017-18,males , 2-17,overweight or obese
45890,Port Adelaide Enfield (C),Good,12.0,26.33344986409432,2017-18,males , 2-17,overweight or obese
46090,Port Augusta (C),Good,81.0,32.24687117865811,2017-18,males , 2-17,overweight or obese
46300,Port Lincoln (C),Good,11.0,33.571067177644885,2017-18,males , 2-17,overweight or obese
46450,Port Pirie City and Dists (M),Good,48.0,31.29515547173806,2017-18,males , 2-17,overweight or obese
46510,Prospect (C),Good,53.0,24.74450879419047,2017-18,males , 2-17,overweight or obese
46670,Renmark Paringa (DC),Good,23.0,30.296211261668905,2017-18,males , 2-17,overweight or obese
46860,Robe (DC),Poor,10.0,38.1088328916555,2017-18,males , 2-17,overweight or obese
46970,Roxby Downs (M),Good,103.0,32.40383570304845,2017-18,males , 2-17,overweight or obese
47140,Salisbury (C),Good,22.0,26.807987540918468,2017-18,males , 2-17,overweight or obese
47290,Southern Mallee (DC),Poor,100.0,31.757032521557445,2017-18,males , 2-17,overweight or obese
47630,Tatiara (DC),Good,55.0,27.704883393703454,2017-18,males , 2-17,overweight or obese
47700,Tea Tree Gully (C),Good,212.0,27.45688052465971,2017-18,males , 2-17,overweight or obese
47800,The Coorong (DC),Good,29.0,30.05864366808802,2017-18,males , 2-17,overweight or obese
47980,Unley (C),Good,52.0,23.402575562006774,2017-18,males , 2-17,overweight or obese
48050,Victor Harbor (C),Good,98.0,31.504835219168818,2017-18,males , 2-17,overweight or obese
48130,Wakefield (DC),Poor,80.0,25.84237001606946,2017-18,males , 2-17,overweight or obese
48260,Walkerville (M),Good,44.0,27.957766136387967,2017-18,males , 2-17,overweight or obese
48340,Wattle Range (DC),Good,55.0,29.455711877138437,2017-18,males , 2-17,overweight or obese
48410,West Torrens (C),Good,12.0,25.594370896172602,2017-18,males , 2-17,overweight or obese
48540,Whyalla (C),Good,7.0,31.670721749698767,2017-18,males , 2-17,overweight or obese
50080,Albany (C),Good,123.0,28.15498581869334,2017-18,males , 2-17,overweight or obese
50210,Armadale (C),Good,311.0,27.233902034142552,2017-18,males , 2-17,overweight or obese
50280,Augusta-Margaret River (S),Good,42.0,28.287782254910713,2017-18,males , 2-17,overweight or obese
50350,Bassendean (T),Good,21.0,26.301164098142173,2017-18,males , 2-17,overweight or obese
50420,Bayswater (C),Good,23.0,23.33620499913447,2017-18,males , 2-17,overweight or obese
50490,Belmont (C),Good,21.0,27.493452040132556,2017-18,males , 2-17,overweight or obese
50560,Beverley (S),Poor,267.0,34.74412269958654,2017-18,males , 2-17,overweight or obese
50630,Boddington (S),Acceptable,218.0,26.22106769534236,2017-18,males , 2-17,overweight or obese
50770,Boyup Brook (S),Poor,257.0,32.601770384801,2017-18,males , 2-17,overweight or obese
50840,Bridgetown-Greenbushes (S),Poor,184.0,28.452168332379465,2017-18,males , 2-17,overweight or obese
50980,Broome (S),Good,7.0,27.643009992286792,2017-18,males , 2-17,overweight or obese
51080,Broomehill-Tambellup (S),Poor,296.0,25.32896677783473,2017-18,males , 2-17,overweight or obese
51190,Bunbury (C),Good,14.0,29.438165177701656,2017-18,males , 2-17,overweight or obese
51260,Busselton (C),Good,13.0,26.432918042418812,2017-18,males , 2-17,overweight or obese
51310,Cambridge (T),Acceptable,27.0,20.78577096176793,2017-18,males , 2-17,overweight or obese
51330,Canning (C),Good,16.0,22.91522375009822,2017-18,males , 2-17,overweight or obese
51400,Capel (S),Good,31.0,29.122190536697364,2017-18,males , 2-17,overweight or obese
51610,Chapman Valley (S),Poor,276.0,27.00067579048214,2017-18,males , 2-17,overweight or obese
51680,Chittering (S),Good,219.0,24.742180520009995,2017-18,males , 2-17,overweight or obese
51750,Claremont (T),Acceptable,19.0,21.90406372830177,2017-18,males , 2-17,overweight or obese
51820,Cockburn (C),Good,38.0,25.036564802125017,2017-18,males , 2-17,overweight or obese
51890,Collie (S),Good,202.0,29.064386048874383,2017-18,males , 2-17,overweight or obese
52100,Corrigin (S),Poor,337.0,27.196563454225597,2017-18,males , 2-17,overweight or obese
52170,Cottesloe (T),Good,12.0,18.88932157129132,2017-18,males , 2-17,overweight or obese
52240,Cranbrook (S),Poor,266.0,29.146990303986485,2017-18,males , 2-17,overweight or obese
52450,Cunderdin (S),Poor,205.0,27.58991760623384,2017-18,males , 2-17,overweight or obese
